[(0.0091677892107551572226, 0.00022219234585404366291), (0.89677002977430797515, 0.88924020674614312476)]
[(0.47055237996032095449, 0.0017563449269028725587), (0.89677002977430797515, 0.88924020674614312476)]
(0.8467904598767799218, 0.0017563449269028725587)
(0.89322437979130053787, 0.0018767260135612907641)
(0.8521477365877648813, 0.057646656484483263516)
(0.57755871934000879708, 0.06230292988661773057)
(0.48296132344621517385, 0.06702976080822797833)
(0.75262777117574841679, 0.083235101579419018547)
(0.8842634464114524917, 0.10033080867323983243)
(0.85245770757180838739, 0.10708867221645194945)
(0.48181667825880680756, 0.10923052724048928908)
(0.7622436654716031601, 0.119946780739898895)
(0.62047539332053591732, 0.15796227969501910882)
(0.62184160854199765911, 0.16304021869692594815)
(0.48020911800191479202, 0.17316259547181941936)
(0.47485042197111748674, 0.19009402356633472997)
(0.53029742859449657821, 0.19249456845869863941)
(0.5009932788388116176, 0.2447676745632552664)
(0.60408254834307673065, 0.25912793834397845893)
(0.68016383386789047716, 0.26526392160173489776)
(0.82730415188325423514, 0.26716527111605237188)
(0.73998297235493337709, 0.34663928234348700963)
(0.67427906701969353431, 0.35987194689364349065)
(0.86816008607012706833, 0.37748691203144102424)
(0.48314328361229086362, 0.37851122019169497479)
(0.84292042681106882362, 0.41130911083250742966)
(0.89677002977430786412, 0.4483389141552931445)
(0.79161792864924818147, 0.4493588151509133044)
(0.57554508942465887333, 0.49191608939792630384)
(0.78181850044200928984, 0.50344175241441257995)
(0.51317039284531695831, 0.52999305814261576941)
(0.5980922157733247202, 0.60562611946236555305)
(0.5615289844989190815, 0.6476045618359220768)
(0.72374832629674823448, 0.64903303018593405671)
(0.88210951089762901223, 0.66822527952072963142)
(0.69355662645065430105, 0.67710526192580655636)
(0.47055237996032095449, 0.69397730285385827997)
(0.70086912911589216435, 0.70245571011321650268)
(0.62152384834126905844, 0.74947814478085905687)
(0.81108595756347456884, 0.79961411772338475412)
(0.86208774686212763516, 0.86719077678543421417)
(0.69245039193291257895, 0.87683659315454320904)
(0.60613280119730683637, 0.88193887473915877351)
(0.71579419290436963053, 0.88924020674614301374)
[(0.0091677892107551572226, 0.00022219234585404366291), (0.45242967466133554577, 0.86600296698925294248)]
(0.26372517334598971628, 0.00022219234585404366291)
(0.22980912919049123477, 0.0079346007750856414886)
(0.44906495174875138421, 0.020140065567065799229)
(0.45242967466133549026, 0.037472684430186330162)
(0.15451281189561735796, 0.040498281818734334359)
(0.18351764708259424297, 0.049527027867803448402)
(0.38037716392345061189, 0.064535212297021776751)
(0.1774902091029031681, 0.070452597094165680947)
(0.018888638883169418803, 0.088113930373260984652)
(0.24593487137415429022, 0.094565598581227608421)
(0.25539873064519913459, 0.095750839299508991309)
(0.10765006193396933765, 0.10205013001276846962)
(0.22804157982600969934, 0.10784316896950932319)
(0.38876264563484691505, 0.1190140848848097177)
(0.040490369177509692722, 0.15896657707149652872)
(0.045424150185058208284, 0.17343008601598192131)
(0.38978364127796938376, 0.19023872282083159613)
(0.26709984470062958506, 0.19086070150547398971)
(0.01649276242885306179, 0.22511179682057574913)
(0.10090870723161582401, 0.25152870802008681084)
(0.11339331646797345954, 0.33131433765594853202)
(0.2242136738240224636, 0.34647588201433787702)
(0.33426063226501151471, 0.37928417961905602773)
(0.42443496825034027209, 0.40230667930242064445)
(0.42599086762421844998, 0.40462022015720267021)
(0.033566372276877594338, 0.42564185382859137663)
(0.43247836698335284655, 0.42993539549586662352)
(0.16949105290472271657, 0.44807536366036226916)
(0.18541034896518657216, 0.5717109699431628389)
(0.28120208344252572985, 0.57984507098938753433)
(0.0091677892107551572226, 0.6177948747382627781)
(0.4451230047769872411, 0.65445651742222576974)
(0.39913494383975106627, 0.66650072652567360354)
(0.3746623644048900359, 0.71489106974571148267)
(0.43498246712703486638, 0.72720430614647202372)
(0.17338497033653404999, 0.74321424940956259952)
(0.08320733503744283388, 0.77496275539305570224)
(0.068947600900155628367, 0.8068103927261911501)
(0.269157549521946593, 0.81289529351365052978)
(0.35681949909109522689, 0.82370887497101785701)
(0.43310943278741920182, 0.83504037882216075594)
(0.24906270585616510638, 0.86600296698925283145)
